name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2023-02-20,55.1,44.3,49.0,55.1,38.8,45.7,44.0,83.0,0.0,0,0.0,,0.0,0.0,23.4,16.1,245.4,1024.1,90.9,17.8,38.9,3.4,2,,2023-02-20T07:05:12,2023-02-20T17:24:12,0.0,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-02-21,50.1,42.9,47.5,50.1,38.9,45.0,43.5,85.8,0.0,0,0.0,,0.0,0.0,14.2,9.7,232.7,1017.8,90.6,9.6,32.4,2.8,1,,2023-02-21T07:03:10,2023-02-21T17:26:01,0.04,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-02-22,49.4,43.8,46.2,48.8,39.9,43.6,41.6,84.8,0.149,100,29.17,rain,0.0,0.0,12.8,8.1,270.6,1011.9,89.6,6.7,21.8,1.8,1,,2023-02-22T07:01:08,2023-02-22T17:27:49,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03781099999,03672099999,03772099999,03770099999"
london,2023-02-23,47.6,38.9,44.5,42.9,37.9,39.8,37.9,77.7,0.0,0,0.0,,0.0,0.0,25.9,14.3,27.2,1018.0,84.2,13.2,27.4,2.5,1,,2023-02-23T06:59:04,2023-02-23T17:29:37,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-02-24,52.0,34.9,41.7,52.0,30.3,38.4,34.7,76.4,0.0,0,0.0,,0.0,0.0,22.4,12.9,354.9,1014.0,65.4,12.6,42.8,3.5,2,,2023-02-24T06:57:00,2023-02-24T17:31:25,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2023-02-25,46.7,39.5,42.1,41.5,33.3,36.4,32.8,70.0,0.0,0,0.0,,0.0,0.0,23.9,15.5,22.2,1017.3,62.8,15.1,59.5,5.1,4,,2023-02-25T06:54:54,2023-02-25T17:33:12,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-02-26,45.2,36.8,40.7,39.8,30.7,35.4,28.7,63.7,0.0,0,0.0,,0.0,0.0,23.2,13.0,40.6,1027.0,31.9,18.5,62.2,5.3,4,,2023-02-26T06:52:48,2023-02-26T17:34:59,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-02-27,47.0,34.9,40.9,42.1,29.8,36.0,31.0,68.2,0.0,0,0.0,,0.0,0.0,20.7,12.0,43.1,1031.6,53.4,20.5,59.0,5.1,3,,2023-02-27T06:50:41,2023-02-27T17:36:46,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-02-28,45.8,37.1,41.8,40.1,31.4,36.6,35.7,79.0,0.0,0,0.0,,0.0,0.0,22.8,13.3,34.3,1032.5,73.2,16.4,24.3,2.1,1,,2023-02-28T06:48:33,2023-02-28T17:38:33,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-01,46.7,40.4,43.3,42.4,36.1,38.8,35.9,75.3,0.0,0,0.0,,0.0,0.0,17.2,10.4,42.3,1029.0,96.5,19.5,36.7,3.2,2,,2023-03-01T06:46:24,2023-03-01T17:40:19,0.3,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-03-02,48.8,36.7,41.9,44.0,31.9,36.8,32.3,69.4,0.0,0,0.0,,0.0,0.0,20.7,12.5,38.5,1025.7,45.1,12.8,68.8,5.8,4,,2023-03-02T06:44:15,2023-03-02T17:42:05,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,remote,03772099999,03770099999"
london,2023-03-03,44.7,38.0,41.9,41.6,31.6,36.9,32.7,70.2,0.0,0,0.0,,0.0,0.0,17.7,10.4,30.1,1028.8,88.2,20.4,32.8,2.9,1,,2023-03-03T06:42:04,2023-03-03T17:43:51,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,remote,03772099999,03770099999"
london,2023-03-04,44.9,41.3,43.2,42.1,36.5,39.2,33.1,67.7,0.0,0,0.0,,0.0,0.0,15.0,9.4,14.8,1029.3,100.0,16.3,36.5,3.2,2,,2023-03-04T06:39:53,2023-03-04T17:45:36,0.4,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-05,41.6,38.6,40.2,39.3,32.4,35.9,29.2,64.8,0.0,0,0.0,,0.0,0.0,14.5,9.0,293.0,1019.1,97.3,13.3,34.8,3.0,1,,2023-03-05T06:37:42,2023-03-05T17:47:22,0.43,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-06,49.4,34.1,41.8,44.8,30.3,37.3,36.7,82.5,0.079,100,20.83,rain,0.0,0.0,19.7,14.5,257.4,1006.0,85.1,12.2,39.6,3.4,2,,2023-03-06T06:35:30,2023-03-06T17:49:06,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-07,42.5,34.1,38.4,40.3,32.4,35.5,33.8,83.7,0.156,100,16.67,rain,0.0,0.0,16.9,11.0,289.9,1000.2,78.7,11.1,36.8,3.2,2,,2023-03-07T06:33:17,2023-03-07T17:50:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-08,38.0,33.5,36.4,32.7,27.0,29.8,34.3,92.2,0.487,100,70.83,"rain,snow",0.7,0.6,20.9,12.4,78.6,991.5,95.0,4.1,21.5,1.7,1,,2023-03-08T06:31:04,2023-03-08T17:52:35,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-03-09,51.5,36.8,43.5,51.5,31.8,39.9,42.0,94.5,0.174,100,37.5,rain,0.0,0.0,16.4,10.5,139.3,990.9,99.6,5.1,22.8,1.9,1,,2023-03-09T06:28:51,2023-03-09T17:54:20,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-10,49.2,37.5,42.2,48.5,27.2,37.5,35.3,77.5,0.103,100,25.0,rain,0.0,0.0,34.4,19.8,343.1,996.9,81.1,14.4,45.0,3.9,2,,2023-03-10T06:26:36,2023-03-10T17:56:03,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-11,47.6,31.3,39.6,43.1,30.0,36.4,30.8,72.4,0.063,100,16.67,rain,0.0,0.0,17.7,10.6,146.3,1009.4,67.7,14.2,90.5,7.9,4,,2023-03-11T06:24:22,2023-03-11T17:57:47,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-03-12,56.0,42.9,50.2,56.0,39.0,48.3,45.9,85.7,0.04,100,16.67,rain,0.0,0.0,27.4,18.2,226.9,1005.7,86.3,8.2,73.3,6.5,3,,2023-03-12T06:22:07,2023-03-12T17:59:30,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
